ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
4606,14008071,Fairfield,"2 Holland Rd, Hamilton",1416,1801071.2178,5817254.0995
4606,14008090,Fairfield,"266 Tramway Rd, Hamilton",1417,1802304.285,5818411.8844
4620,14008093,Te Rapa,"32 Norris Ave, Hamilton",1418,1798352.7634,5818584.3673
15643,14008102,Bremworth / Templeview,"2 Cowley Dr, Hamilton",1419,1795866.6603,5811877.5613
19537,14008105,Meteor,"50 Nevada Rd, Hamilton",1420,1805248.0634,5815246.7159
4612,14008107,Claudelands,"28 McMeekan Ave, Hamilton",1421,1801673.8215,5819136.421
4610,14008112,University,"29 Te Aroha St, Hamilton",1422,1801708.2138,5815879.875
15643,14008114,Bremworth / Templeview,"73 Higgins Rd, Hamilton",1423,1798594.6796,5813825.6119
4638,14008115,Dinsdale,"9 Caernarvon St, Hamilton",1424,1797082.8073,5814389.7158
4656,14008121,Nawton,"127 Seddon Rd, Hamilton (opp Stadium)",1425,1799762.1798,5815922.0037
4606,14008123,Fairfield,"160 Bankwood Rd, Hamilton",1426,1800480.9695,5818986.5415
4616,14008123,Rototuna,"160 Bankwood Rd, Hamilton",1427,1800480.9695,5818986.5415
9022,14008123,Flagstaff,"160 Bankwood Rd, Hamilton",1428,1800480.9695,5818986.5415
9032,14008123,Rototuna Circular,"160 Bankwood Rd, Hamilton",1429,1800480.9695,5818986.5415
4648,14008124,Chartwell,"58 Herbert Rd, Hamilton",1430,1799924.3125,5819657.8368
4612,14008126,Claudelands,"126 Crosby Rd, Hamilton",1431,1801968.4531,5819290.8736
4604,14008130,Hillcrest,"97 Naylor St, Hamilton",1432,1803095.4894,5814179.1882
4618,14008130,Hamilton Gardens Uni,"97 Naylor St, Hamilton",1433,1803095.4894,5814179.1882
9022,14008140,Flagstaff,"103 Endeavour Ave, Hamilton",1434,1798418.1643,5821363.7316
15643,14008142,Bremworth / Templeview,"10 Queens Ave, Hamilton",1435,1799899.9697,5815006.1695
4638,14008142,Dinsdale,"10 Queens Ave, Hamilton",1436,1799899.9697,5815006.1695
12858,14008152,Comet,"1 Tomin Rd, Hamilton",1437,1800955.2371,5811755.1013
4618,14008155,Hamilton Gardens Uni,"15 Galloway St, Hamilton",1438,1802920.3347,5813754.1218
12858,14008157,Comet,"474 Te Rapa Rd, Hamilton",1439,1798190.069,5818270.7275
4638,14008159,Dinsdale,"151 Baverstock Rd, Hamilton",1440,1796043.7381,5816976.4828
19537,14008169,Meteor,"91 Silverdale Rd, Hamilton",1441,1804925.7788,5814744.9821
4618,14008169,Hamilton Gardens Uni,"91 Silverdale Rd, Hamilton",1442,1804925.7788,5814744.9821
3771,14008187,Orbiter,"26 Ellicott Rd, Hamilton",1443,1797979.1048,5816037.2557
4656,14008187,Nawton,"26 Ellicott Rd, Hamilton",1444,1797979.1048,5816037.2557
4616,14008218,Rototuna,"33 Wentworth Dr, Hamilton",1445,1799234.7456,5821758.3081
4641,14008218,Flagstaff North,"33 Wentworth Dr, Hamilton",1446,1799234.7456,5821758.3081
12858,14008221,Comet,"63 Ōhaupō Rd, Hamilton",1447,1800832.9888,5812748.9517
4608,14008221,Fitzroy,"63 Ōhaupō Rd, Hamilton",1448,1800832.9888,5812748.9517
12858,14008223,Comet,"109 Māhoe St, Hamilton",1449,1800265.1354,5812438.9585
3771,14008225,Orbiter,"119 Killarney Rd, Hamilton",1450,1798852.7145,5814521.1175
4638,14008225,Dinsdale,"119 Killarney Rd, Hamilton",1451,1798852.7145,5814521.1175
3771,14008226,Orbiter,"133 Pūkete Rd, Hamilton",1452,1797317.1158,5820337.265
4620,14008244,Te Rapa,"10 Mitcham Ave, Hamilton",1453,1798594.0573,5817009.6461
4610,14008246,University,"668 Grey St, Hamilton",1454,1801638.3062,5815760.2245
3720,14008252,Tamahere/Matangi,"Newell Rd, Tamahere (outside Parklea Estate) (hail2ride)",1455,1805436.3455,5811122.9564
4638,14008258,Dinsdale,"193 Dinsdale Rd, Hamilton",1456,1796807.3136,5814847.1044
4656,14008265,Nawton,"160 Rimu St, Hamilton",1457,1798352.1311,5816270.9955
4620,14008280,Te Rapa,"21 Forsyth St, Hamilton",1458,1798628.9647,5818381.5038
4648,14008301,Chartwell,"20 Herbert Rd, Hamilton (Chartwell Park)",1459,1800030.6631,5819302.8318
4622,14008302,Pukete,"16 Sandwich Rd, Hamilton",1460,1798956.1334,5818889.4847
4608,14008303,Fitzroy,"3 Alison St, Hamilton",1461,1800012.1397,5813708.6563
